2016-11-06 17:16:03 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 install libpcre3:armhf <none> 2:8.35-3.3+deb8u4
2016-11-06 17:16:03 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u4
2016-11-06 17:16:04 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2016-11-06 17:16:04 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2016-11-06 17:16:04 upgrade perl-base:armhf 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2016-11-06 17:16:04 status half-configured perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:16:04 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:16:04 status half-installed perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:16:04 status half-installed perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:16:04 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:16:04 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:16:04 install libprocps3:armhf <none> 2:3.3.9-9
2016-11-06 17:16:04 status half-installed libprocps3:armhf 2:3.3.9-9
2016-11-06 17:16:04 status unpacked libprocps3:armhf 2:3.3.9-9
2016-11-06 17:16:04 status unpacked libprocps3:armhf 2:3.3.9-9
2016-11-06 17:16:05 install procps:armhf <none> 2:3.3.9-9
2016-11-06 17:16:05 status half-installed procps:armhf 2:3.3.9-9
2016-11-06 17:16:05 status unpacked procps:armhf 2:3.3.9-9
2016-11-06 17:16:05 status unpacked procps:armhf 2:3.3.9-9
2016-11-06 17:16:05 install sed:armhf <none> 4.2.2-4+b1
2016-11-06 17:16:05 status half-installed sed:armhf 4.2.2-4+b1
2016-11-06 17:16:05 status unpacked sed:armhf 4.2.2-4+b1
2016-11-06 17:16:05 status unpacked sed:armhf 4.2.2-4+b1
2016-11-06 17:16:05 install sensible-utils:all <none> 0.0.9
2016-11-06 17:16:05 status half-installed sensible-utils:all 0.0.9
2016-11-06 17:16:05 status unpacked sensible-utils:all 0.0.9
2016-11-06 17:16:05 status unpacked sensible-utils:all 0.0.9
2016-11-06 17:16:05 install login:armhf <none> 1:4.2-3+deb8u1
2016-11-06 17:16:05 status half-installed login:armhf 1:4.2-3+deb8u1
2016-11-06 17:16:05 status unpacked login:armhf 1:4.2-3+deb8u1
2016-11-06 17:16:05 status unpacked login:armhf 1:4.2-3+deb8u1
2016-11-06 17:16:06 install passwd:armhf <none> 1:4.2-3+deb8u1
2016-11-06 17:16:06 status half-installed passwd:armhf 1:4.2-3+deb8u1
2016-11-06 17:16:06 status unpacked passwd:armhf 1:4.2-3+deb8u1
2016-11-06 17:16:06 status unpacked passwd:armhf 1:4.2-3+deb8u1
2016-11-06 17:16:06 install libslang2:armhf <none> 2.3.0-2
2016-11-06 17:16:06 status half-installed libslang2:armhf 2.3.0-2
